mission_id,fault_type,is_fault_mission,fault_onset_s,fault_detection_s,detection_latency_s,health_mae,health_rmse,rul_mae_seconds,rul_rmse_seconds
MIS-0001,NORMAL,False,,,,26.618968730179528,27.93796820124003,,
MIS-0002,NORMAL,False,,,,26.95369922266644,27.919499114725564,,
MIS-0003,NORMAL,False,,,,29.900284080653662,32.34571473300914,,
MIS-0004,SENSOR_DRIFT,True,23.0,,,30.42136130245466,35.15963373917534,7.497967473334624,9.240994956605924
MIS-0005,NORMAL,False,,,,26.441529726883118,27.36374558036844,,
MIS-0006,COOLING_DEGRADATION,True,32.0,33.0,1.0,26.217225884636495,28.925411476307303,5.276344754866123,6.726197077312307
MIS-0007,OVERHEATING_TREND,True,19.0,22.0,3.0,32.07237706171965,34.526721071881596,4.31705180081459,5.477330741066436
MIS-0008,COOLING_DEGRADATION,True,30.0,34.0,4.0,24.593941699802084,27.406266885387648,6.4170913934706935,7.383020678182499
MIS-0009,NORMAL,False,,,,26.137790105619942,27.297191132703787,,
MIS-0010,LUBRICATION_ISSUE,True,26.0,26.0,0.0,31.454294441751586,34.88487175563756,3.335494017600971,4.258076007898283
MIS-0011,ABNORMAL_VIBRATION,True,31.0,31.0,0.0,26.2261081393241,29.72959953967111,5.2745736752237375,7.0590705619918195
MIS-0012,LUBRICATION_ISSUE,True,19.0,19.0,0.0,25.64568524715573,30.48440472430907,5.892937608259261,7.014130741328868
MIS-0013,NORMAL,False,,,,29.311964934474716,31.174457460524252,,
MIS-0014,INJECTOR_ABNORMALITY,True,30.0,43.0,13.0,24.98523972708323,28.420858443809827,9.982120256166146,11.589862595196555
MIS-0015,SENSOR_DRIFT,True,21.0,,,29.186718836114885,34.295862027864416,3.6424320220947592,4.659742291090783
MIS-0016,COMBUSTION_INSTABILITY,True,21.0,,,24.40522855763272,28.419579729085278,4.376510606209305,5.735483864804714
MIS-0017,INJECTOR_ABNORMALITY,True,27.0,35.0,8.0,21.488228796453516,24.984269692253214,4.676427235603333,5.658528914472898
MIS-0018,NORMAL,False,,,,26.54886919061237,27.611576328107557,,
MIS-0019,NORMAL,False,,,,28.429981991963707,30.686643988726996,,
MIS-0020,COMBUSTION_INSTABILITY,True,33.0,,,23.118229068652404,27.139421928874672,9.62289947526784,11.349477736847962
