timestamp_s,engine_id,mission_id,mission_phase,throttle_pct,altitude_m,ambient_temperature_c,rpm,cht_c,egt_c,oil_pressure_kpa,oil_temperature_c,fuel_flow_lph,vibration_g,alternator_voltage_v,battery_voltage_v,injection_timing_deg,expected_rpm,expected_cht_c,expected_egt_c,expected_oil_pressure_kpa,expected_oil_temperature_c,expected_fuel_flow_lph,expected_vibration_g,expected_injection_timing_deg,true_fault_type,true_fault_active,true_severity,residual_rpm,residual_cht_c,residual_egt_c,residual_oil_pressure_kpa,residual_oil_temperature_c,residual_fuel_flow_lph,residual_vibration_g,residual_injection_timing_deg
0.0,ENG-001,MIS-0001,TAXI,15.67,0.0,25.64,1215.8,106.66,438.2,246.56,39.47,6.83,0.211,28.2,25.5,22.76,1238.7,107.48,438.24,247.01,40.03,7.45,0.196,22.47,SENSOR_DRIFT,0,0.0,-22.90000000000009,-0.8200000000000074,-0.040000000000020464,-0.44999999999998863,-0.5600000000000023,-0.6200000000000001,0.014999999999999986,0.2900000000000027
1.0,ENG-001,MIS-0001,TAXI,17.04,0.0,25.87,1272.8,107.52,448.69,260.55,39.53,7.73,0.149,27.75,25.9,22.37,1277.0,108.86,445.64,251.11,40.06,7.75,0.199,22.51,SENSOR_DRIFT,0,0.0,-4.2000000000000455,-1.3400000000000034,3.0500000000000114,9.439999999999998,-0.5300000000000011,-0.019999999999999574,-0.05000000000000002,-0.14000000000000057
2.0,ENG-001,MIS-0001,TAXI,11.42,0.0,25.34,1121.7,101.52,418.4,235.52,38.72,6.58,0.209,27.96,25.21,22.19,1119.8,103.48,415.81,234.27,40.09,6.51,0.194,22.34,SENSOR_DRIFT,0,0.0,1.900000000000091,-1.960000000000008,2.589999999999975,1.25,-1.3700000000000045,0.07000000000000028,0.014999999999999986,-0.14999999999999858
3.0,ENG-001,MIS-0001,TAXI,18.05,0.0,25.26,1317.5,109.88,446.96,258.66,39.06,7.97,0.24,28.02,25.6,22.62,1305.3,109.4,450.17,254.14,40.12,7.97,0.202,22.54,SENSOR_DRIFT,0,0.0,12.200000000000045,0.47999999999998977,-3.2100000000000364,4.520000000000039,-1.0599999999999952,0.0,0.03799999999999998,0.08000000000000185
4.0,ENG-001,MIS-0001,TAKEOFF,95.57,2972.3,5.21,3503.3,175.49,848.85,492.52,40.68,25.2,0.286,28.13,25.47,24.73,3475.9,176.01,846.96,486.71,40.19,25.03,0.284,24.87,SENSOR_DRIFT,0,0.0,27.40000000000009,-0.5199999999999818,1.8899999999999864,5.810000000000002,0.490000000000002,0.16999999999999815,0.0020000000000000018,-0.14000000000000057
5.0,ENG-001,MIS-0001,TAKEOFF,96.96,3215.4,4.79,3504.1,177.5,858.17,488.46,40.55,25.72,0.279,27.7,25.81,25.06,3514.9,177.26,854.19,490.88,40.27,25.33,0.287,24.91,SENSOR_DRIFT,0,0.0,-10.800000000000182,0.2400000000000091,3.9799999999999045,-2.420000000000016,0.27999999999999403,0.39000000000000057,-0.007999999999999952,0.14999999999999858
6.0,ENG-001,MIS-0001,TAKEOFF,91.37,3458.5,2.53,3342.6,171.27,827.43,469.43,40.24,23.63,0.276,27.77,25.43,24.62,3358.4,172.23,825.13,474.12,40.35,24.1,0.282,24.74,SENSOR_DRIFT,0,0.0,-15.800000000000182,-0.9599999999999795,2.2999999999999545,-4.689999999999998,-0.10999999999999943,-0.4700000000000024,-0.00599999999999995,-0.11999999999999744
7.0,ENG-001,MIS-0001,CLIMB,85.89,3701.6,1.5,3233.2,167.3,797.37,450.22,40.66,22.98,0.256,27.97,25.35,25.11,3204.8,167.3,796.6,457.66,40.42,22.89,0.277,24.58,SENSOR_DRIFT,0,0.0,28.399999999999636,0.0,0.7699999999999818,-7.439999999999998,0.23999999999999488,0.08999999999999986,-0.02100000000000002,0.5300000000000011
8.0,ENG-001,MIS-0001,CLIMB,85.82,3944.7,-1.5,3203.8,166.85,795.33,449.07,39.38,23.42,0.27,27.91,25.66,24.84,3202.9,167.24,796.25,457.45,40.49,22.88,0.278,24.57,SENSOR_DRIFT,0,0.0,0.900000000000091,-0.3900000000000148,-0.9199999999999591,-8.379999999999995,-1.1099999999999994,0.5400000000000027,-0.008000000000000007,0.2699999999999996
9.0,ENG-001,MIS-0001,CLIMB,83.77,4187.8,-2.17,3136.6,165.49,784.52,449.73,40.16,22.73,0.247,27.96,25.54,24.42,3145.5,165.39,785.59,451.3,40.56,22.43,0.277,24.51,SENSOR_DRIFT,0,0.0,-8.900000000000091,0.10000000000002274,-1.07000000000005,-1.5699999999999932,-0.4000000000000057,0.3000000000000007,-0.030000000000000027,-0.08999999999999986
10.0,ENG-001,MIS-0001,CLIMB,81.37,4430.9,-3.9,3089.7,162.91,776.23,447.65,40.15,21.6,0.284,27.96,25.64,24.3,3078.4,163.23,773.12,444.11,40.63,21.9,0.275,24.44,SENSOR_DRIFT,0,0.0,11.299999999999727,-0.3199999999999932,3.1100000000000136,3.5399999999999636,-0.480000000000004,-0.29999999999999716,0.008999999999999952,-0.14000000000000057
